gpa,skills,interest_area,experience_level,personality_type,availability_hours,communication_score,leadership_score,proposed_topic,topic_description,domain_interest,text_features,Group_ID,Group_Size
2.6,"AWS, Docker, Kubernetes",Cloud Computing,Beginner,Neutral,24,3,3,Real-time Cost Management Monitor,Develops a cloud solution for educational purposes using AWS.,Cloud,"AWS, Docker, Kubernetes Cloud Computing Beginner Neutral Cloud",7,4
2.99,"Python, Pandas, Power BI",Data Analytics,Beginner,Introvert,14,4,2,Web Design Project 221,Implements a web design system to solve real-world problems in academic settings.,Web Design,"Python, Pandas, Power BI Data Analytics Beginner Introvert Web Design",23,4
3.22,"Python, Django, PostgreSQL",DevOps,Intermediate,Neutral,24,4,5,Smart Learning Management Platform,Builds a comprehensive web application platform with user-friendly interface and advanced features.,Web Application,"Python, Django, PostgreSQL DevOps Intermediate Neutral Web Application",71,4
2.97,"JavaScript, React, Node.js, MongoDB",Web Development,Beginner,Introvert,24,2,5,Intelligent Vulnerability Assessment Solution,Develops a cybersecurity solution for educational purposes using JavaScript.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Web Development Beginner Introvert Cybersecurity",1,4
2.42,"Java, Spring Boot, MySQL",Full Stack,Intermediate,Neutral,9,4,4,AR/VR Recommendation System,Constructs a robust ar/vr framework for scalable and efficient performance.,AR/VR,"Java, Spring Boot, MySQL Full Stack Intermediate Neutral AR/VR",45,4
3.58,"R, Statistics, Visualization",Data Analytics,Advanced,Neutral,9,2,3,Sentiment Analysis Prediction Model,Develops a nlp solution for educational purposes using R.,NLP,"R, Statistics, Visualization Data Analytics Advanced Neutral NLP",49,4
3.39,"SQL, Excel, Tableau",Data Analytics,Intermediate,Introvert,20,4,3,AI-Based Environmental Sensing System,Engineers a secure iot solution with focus on data privacy and integrity.,IoT,"SQL, Excel, Tableau Data Analytics Intermediate Introvert IoT",30,4
3.83,"HTML, CSS, JS, PHP",Natural Language Processing,Beginner,Ambivert,11,4,2,Web Design Project 227,Builds a comprehensive web design platform with user-friendly interface and advanced features.,Web Design,"HTML, CSS, JS, PHP Natural Language Processing Beginner Ambivert Web Design",45,4
3.24,"Python, Data Visualization, Tableau",AI & Data,Beginner,Extrovert,12,3,5,Smart Agriculture Platform,Implements a iot system to solve real-world problems in academic settings.,IoT,"Python, Data Visualization, Tableau AI & Data Beginner Extrovert IoT",73,4
3.08,"Python, Django, PostgreSQL",DevOps,Beginner,Neutral,12,3,5,Health Tracking Prediction Model,Constructs a robust mobile development framework for scalable and efficient performance.,Mobile Development,"Python, Django, PostgreSQL DevOps Beginner Neutral Mobile Development",57,4
3.22,"Python, Deep Learning, PyTorch",AI & Data,Intermediate,Extrovert,12,4,5,Health Prediction Optimization Tool,Implements a data science system to solve real-world problems in academic settings.,Data Science,"Python, Deep Learning, PyTorch AI & Data Intermediate Extrovert Data Science",44,4
2.59,"Python, Django, PostgreSQL",Natural Language Processing,Beginner,Introvert,17,2,3,AR/VR Detection System,Creates an innovative ar/vr application with modern technologies and best practices.,AR/VR,"Python, Django, PostgreSQL Natural Language Processing Beginner Introvert AR/VR",36,4
2.72,"AWS, Docker, Kubernetes",Cloud Computing,Advanced,Extrovert,22,4,5,Face Recognition Management Dashboard,Develops a computer vision solution for educational purposes using AWS.,Computer Vision,"AWS, Docker, Kubernetes Cloud Computing Advanced Extrovert Computer Vision",8,4
3.99,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Introvert,17,3,5,AR/VR Prediction Model,Designs and develops a ar/vr tool to enhance learning and collaboration.,AR/VR,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Introvert AR/VR",61,4
4.0,"JavaScript, React, Node.js, MongoDB",Deep Learning,Intermediate,Introvert,24,4,5,Learning Management Prediction Model,Develops a web application solution for educational purposes using JavaScript.,Web Application,"JavaScript, React, Node.js, MongoDB Deep Learning Intermediate Introvert Web Application",53,4
3.22,"JavaScript, React, Node.js, MongoDB",Full Stack,Beginner,Ambivert,12,3,4,Cost Management Management Dashboard,Implements a cloud system to solve real-world problems in academic settings.,Cloud,"JavaScript, React, Node.js, MongoDB Full Stack Beginner Ambivert Cloud",75,4
3.88,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Extrovert,18,3,5,Energy Monitoring Detection System,Constructs a robust iot framework for scalable and efficient performance.,IoT,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Extrovert IoT",62,4
3.31,"Azure, Terraform, CI/CD",Cloud Computing,Intermediate,Introvert,13,4,2,Blockchain Project 237,Designs and develops a blockchain tool to enhance learning and collaboration.,Blockchain,"Azure, Terraform, CI/CD Cloud Computing Intermediate Introvert Blockchain",15,4
3.56,"Python, ML, Data Science, TensorFlow",AI & Data,Intermediate,Ambivert,13,4,4,Agriculture Chatbot Assistant,Creates an innovative iot application with modern technologies and best practices.,IoT,"Python, ML, Data Science, TensorFlow AI & Data Intermediate Ambivert IoT",18,4
4.0,"SIEM Tools, Risk Assessment",Cybersecurity,Intermediate,Extrovert,23,4,3,AI & NLP Project 239,Designs and develops a ai & nlp tool to enhance learning and collaboration.,AI & NLP,"SIEM Tools, Risk Assessment Cybersecurity Intermediate Extrovert AI & NLP",13,4
3.2,"HTML, CSS, JS, PHP",Frontend Design,Intermediate,Neutral,8,4,3,Student Performance Chatbot Assistant,Creates an innovative data science application with modern technologies and best practices.,Data Science,"HTML, CSS, JS, PHP Frontend Design Intermediate Neutral Data Science",75,4
3.23,"Python, Django, PostgreSQL",DevOps,Beginner,Introvert,10,3,5,AR/VR Project 241,Implements a ar/vr system to solve real-world problems in academic settings.,AR/VR,"Python, Django, PostgreSQL DevOps Beginner Introvert AR/VR",40,4
3.0,"Python, Django, PostgreSQL",Frontend Design,Advanced,Introvert,14,2,4,AI-Based Face Recognition System,Constructs a robust computer vision framework for scalable and efficient performance.,Computer Vision,"Python, Django, PostgreSQL Frontend Design Advanced Introvert Computer Vision",49,4
3.32,"Circuit Design, Sensors",IoT & Hardware,Intermediate,Extrovert,24,3,4,Blockchain Project 243,Engineers a secure blockchain solution with focus on data privacy and integrity.,Blockchain,"Circuit Design, Sensors IoT & Hardware Intermediate Extrovert Blockchain",25,4
3.41,"Java, Spring Boot, MySQL",DevOps,Beginner,Neutral,18,2,5,AI-Based Object Detection System,Designs and develops a computer vision tool to enhance learning and collaboration.,Computer Vision,"Java, Spring Boot, MySQL DevOps Beginner Neutral Computer Vision",65,4
3.17,"HTML, CSS, JS, PHP",Web Development,Beginner,Extrovert,18,3,2,Intelligent Resource Optimization Solution,Implements a cloud system to solve real-world problems in academic settings.,Cloud,"HTML, CSS, JS, PHP Web Development Beginner Extrovert Cloud",79,4
3.36,"HTML, CSS, JS, PHP",Web Development,Intermediate,Ambivert,20,4,2,Web Development Project 246,Develops a web development solution for educational purposes using HTML.,Web Development,"HTML, CSS, JS, PHP Web Development Intermediate Ambivert Web Development",52,4
3.04,"Kotlin, Android Studio",Mobile Apps,Advanced,Extrovert,19,3,3,Smart Gesture Recognition Platform,Constructs a robust computer vision framework for scalable and efficient performance.,Computer Vision,"Kotlin, Android Studio Mobile Apps Advanced Extrovert Computer Vision",25,4
3.14,"HTML, CSS, JS, PHP",Deep Learning,Beginner,Ambivert,20,3,2,AR/VR Analytics Platform,Develops a ar/vr solution for educational purposes using HTML.,AR/VR,"HTML, CSS, JS, PHP Deep Learning Beginner Ambivert AR/VR",39,4
3.46,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Neutral,20,3,2,Health Prediction Prediction Model,Builds a comprehensive data science platform with user-friendly interface and advanced features.,Data Science,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Neutral Data Science",70,4
3.55,"Python, Django, PostgreSQL",Web Development,Beginner,Neutral,15,3,3,Face Recognition Analytics Platform,Constructs a robust computer vision framework for scalable and efficient performance.,Computer Vision,"Python, Django, PostgreSQL Web Development Beginner Neutral Computer Vision",42,4
3.39,"Python, Embedded Systems",IoT & Hardware,Beginner,Introvert,9,3,2,Study Assistant Recommendation System,Develops a mobile development solution for educational purposes using Python.,Mobile Development,"Python, Embedded Systems IoT & Hardware Beginner Introvert Mobile Development",28,4
3.89,"Python, Django, PostgreSQL",Deep Learning,Beginner,Ambivert,18,2,5,Vulnerability Assessment Detection System,Builds a comprehensive cybersecurity platform with user-friendly interface and advanced features.,Cybersecurity,"Python, Django, PostgreSQL Deep Learning Beginner Ambivert Cybersecurity",4,4
2.95,"Azure, Terraform, CI/CD",Cloud Computing,Advanced,Introvert,17,4,4,Blockchain Project 253,Develops a blockchain solution for educational purposes using Azure.,Blockchain,"Azure, Terraform, CI/CD Cloud Computing Advanced Introvert Blockchain",15,4
3.01,Penetration Testing,Cybersecurity,Intermediate,Neutral,15,2,3,Container Orchestration Detection System,Implements a cloud system to solve real-world problems in academic settings.,Cloud,Penetration Testing Cybersecurity Intermediate Neutral Cloud,77,4
3.42,"HTML, CSS, JS, PHP",Web Development,Intermediate,Extrovert,19,4,5,Threat Detection Prediction Model,Engineers a secure cybersecurity solution with focus on data privacy and integrity.,Cybersecurity,"HTML, CSS, JS, PHP Web Development Intermediate Extrovert Cybersecurity",52,4
3.36,"MQTT, Cloud IoT",IoT & Hardware,Advanced,Introvert,22,3,2,Object Detection Optimization Tool,Builds a comprehensive computer vision platform with user-friendly interface and advanced features.,Computer Vision,"MQTT, Cloud IoT IoT & Hardware Advanced Introvert Computer Vision",37,4
3.63,"SQL, Excel, Tableau",Data Analytics,Beginner,Extrovert,20,3,5,Automated Health Prediction Framework,Implements a data science system to solve real-world problems in academic settings.,Data Science,"SQL, Excel, Tableau Data Analytics Beginner Extrovert Data Science",30,4
3.4,"Python, ML, Data Science, TensorFlow",AI & Data,Advanced,Introvert,22,4,2,Blockchain Project 258,Constructs a robust blockchain framework for scalable and efficient performance.,Blockchain,"Python, ML, Data Science, TensorFlow AI & Data Advanced Introvert Blockchain",18,4
2.78,"Python, Django, PostgreSQL",DevOps,Beginner,Introvert,19,2,4,Game Dev Project 259,Creates an innovative game dev application with modern technologies and best practices.,Game Dev,"Python, Django, PostgreSQL DevOps Beginner Introvert Game Dev",57,4
3.38,"Python, Django, PostgreSQL",Deep Learning,Beginner,Neutral,13,4,2,Smart Resource Optimization Platform,Implements a cloud system to solve real-world problems in academic settings.,Cloud,"Python, Django, PostgreSQL Deep Learning Beginner Neutral Cloud",3,4
3.51,"Python, Django, PostgreSQL",Web Development,Beginner,Ambivert,11,4,3,Image Classification Optimization Tool,Develops a computer vision solution for educational purposes using Python.,Computer Vision,"Python, Django, PostgreSQL Web Development Beginner Ambivert Computer Vision",41,4
3.25,Penetration Testing,Cybersecurity,Intermediate,Neutral,19,2,2,Automated Data Privacy Framework,Builds a comprehensive cybersecurity platform with user-friendly interface and advanced features.,Cybersecurity,Penetration Testing Cybersecurity Intermediate Neutral Cybersecurity,77,4
3.55,"Java, Spring Boot, MySQL",Frontend Design,Beginner,Neutral,15,4,3,Energy Monitoring Optimization Tool,Designs and develops a iot tool to enhance learning and collaboration.,IoT,"Java, Spring Boot, MySQL Frontend Design Beginner Neutral IoT",51,4
2.79,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Extrovert,16,4,5,Web Design Project 264,Designs and develops a web design tool to enhance learning and collaboration.,Web Design,"HTML, CSS, JS, PHP Deep Learning Intermediate Extrovert Web Design",72,4
2.51,"Flutter, Dart, Firebase",Mobile Apps,Beginner,Extrovert,20,4,5,Web Design Project 265,Builds a comprehensive web design platform with user-friendly interface and advanced features.,Web Design,"Flutter, Dart, Firebase Mobile Apps Beginner Extrovert Web Design",10,4
3.66,"Python, Django, PostgreSQL",Mobile + AI,Beginner,Introvert,22,4,4,Network Monitoring Management Dashboard,Builds a comprehensive cybersecurity platform with user-friendly interface and advanced features.,Cybersecurity,"Python, Django, PostgreSQL Mobile + AI Beginner Introvert Cybersecurity",31,4
2.73,"JavaScript, React, Node.js, MongoDB",Frontend Design,Beginner,Introvert,21,3,2,Cost Management Detection System,Engineers a secure cloud solution with focus on data privacy and integrity.,Cloud,"JavaScript, React, Node.js, MongoDB Frontend Design Beginner Introvert Cloud",68,4
3.39,"JavaScript, React, Node.js, MongoDB",Deep Learning,Intermediate,Extrovert,15,3,2,Smart Campus Navigation Platform,Prototypes a cutting-edge mobile development application using emerging technologies.,Mobile Development,"JavaScript, React, Node.js, MongoDB Deep Learning Intermediate Extrovert Mobile Development",53,4
3.72,"JavaScript, React, Node.js, MongoDB",Web Development,Intermediate,Extrovert,20,3,4,Blockchain Project 269,Builds a comprehensive blockchain platform with user-friendly interface and advanced features.,Blockchain,"JavaScript, React, Node.js, MongoDB Web Development Intermediate Extrovert Blockchain",0,4
3.11,"Azure, Terraform, CI/CD",Cloud Computing,Intermediate,Neutral,16,2,2,Web Design Project 270,Engineers a secure web design solution with focus on data privacy and integrity.,Web Design,"Azure, Terraform, CI/CD Cloud Computing Intermediate Neutral Web Design",15,4
3.35,"Python, Deep Learning, PyTorch",AI & Data,Intermediate,Introvert,24,4,2,Resource Optimization Management Dashboard,Constructs a robust cloud framework for scalable and efficient performance.,Cloud,"Python, Deep Learning, PyTorch AI & Data Intermediate Introvert Cloud",44,4
2.6,"Python, ML, Data Science, TensorFlow",AI & Data,Intermediate,Extrovert,24,3,4,Smart Financial Forecasting Platform,Engineers a secure data science solution with focus on data privacy and integrity.,Data Science,"Python, ML, Data Science, TensorFlow AI & Data Intermediate Extrovert Data Science",18,4
3.17,"Python, Deep Learning, PyTorch",AI & Data,Intermediate,Neutral,24,3,4,AI & NLP Project 273,Implements a ai & nlp system to solve real-world problems in academic settings.,AI & NLP,"Python, Deep Learning, PyTorch AI & Data Intermediate Neutral AI & NLP",43,4
4.0,"Kotlin, Android Studio",Mobile Apps,Beginner,Neutral,21,3,2,Web Design Project 274,Implements a web design system to solve real-world problems in academic settings.,Web Design,"Kotlin, Android Studio Mobile Apps Beginner Neutral Web Design",24,4
2.85,"Java, Spring Boot, MySQL",Frontend Design,Intermediate,Neutral,14,3,5,Web Design Project 275,Designs and develops a web design tool to enhance learning and collaboration.,Web Design,"Java, Spring Boot, MySQL Frontend Design Intermediate Neutral Web Design",52,4
2.9,"ML, Forecasting",Data Analytics,Intermediate,Extrovert,8,4,3,AI & NLP Project 276,Develops a ai & nlp solution for educational purposes using ML.,AI & NLP,"ML, Forecasting Data Analytics Intermediate Extrovert AI & NLP",38,4
2.77,"Java, Spring Boot, MySQL",Natural Language Processing,Beginner,Introvert,12,3,3,Campus Navigation Optimization Tool,Builds a comprehensive mobile development platform with user-friendly interface and advanced features.,Mobile Development,"Java, Spring Boot, MySQL Natural Language Processing Beginner Introvert Mobile Development",47,4
3.33,"Python, Django, PostgreSQL",Full Stack,Intermediate,Introvert,10,3,5,Market Analysis Recommendation System,Constructs a robust data science framework for scalable and efficient performance.,Data Science,"Python, Django, PostgreSQL Full Stack Intermediate Introvert Data Science",0,4
3.41,"Network Security, Ethical Hacking",Cybersecurity,Advanced,Extrovert,16,4,5,Game Dev Project 279,Designs and develops a game dev tool to enhance learning and collaboration.,Game Dev,"Network Security, Ethical Hacking Cybersecurity Advanced Extrovert Game Dev",20,4
2.87,"Flutter, Dart, Firebase",Mobile Apps,Beginner,Introvert,22,4,3,Language Translation Management Dashboard,Prototypes a cutting-edge nlp application using emerging technologies.,NLP,"Flutter, Dart, Firebase Mobile Apps Beginner Introvert NLP",9,4
3.97,"Python, Pandas, Power BI",Data Analytics,Intermediate,Extrovert,11,3,2,AI & NLP Project 281,Builds a comprehensive ai & nlp platform with user-friendly interface and advanced features.,AI & NLP,"Python, Pandas, Power BI Data Analytics Intermediate Extrovert AI & NLP",22,4
3.59,"Flutter, Dart, Firebase",Mobile Apps,Intermediate,Introvert,24,4,2,AI & NLP Project 282,Implements a ai & nlp system to solve real-world problems in academic settings.,AI & NLP,"Flutter, Dart, Firebase Mobile Apps Intermediate Introvert AI & NLP",9,4
2.61,"Java, Spring Boot, MySQL",Full Stack,Advanced,Introvert,11,4,4,AR/VR Project 283,Develops a ar/vr solution for educational purposes using Java.,AR/VR,"Java, Spring Boot, MySQL Full Stack Advanced Introvert AR/VR",45,4
3.81,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Neutral,9,2,3,Container Orchestration Optimization Tool,Constructs a robust cloud framework for scalable and efficient performance.,Cloud,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Neutral Cloud",69,4
2.65,"GCP, Microservices, Serverless",Cloud Computing,Advanced,Extrovert,9,3,3,Resource Optimization Chatbot Assistant,Implements a cloud system to solve real-world problems in academic settings.,Cloud,"GCP, Microservices, Serverless Cloud Computing Advanced Extrovert Cloud",23,4
2.49,"HTML, CSS, JS, PHP",Natural Language Processing,Advanced,Extrovert,10,4,3,Social Media Management Dashboard,Designs and develops a web application tool to enhance learning and collaboration.,Web Application,"HTML, CSS, JS, PHP Natural Language Processing Advanced Extrovert Web Application",46,4
3.62,"Unity, C#, 3D Modeling",Game Development,Intermediate,Extrovert,12,3,5,Game Dev Project 287,Prototypes a cutting-edge game dev application using emerging technologies.,Game Dev,"Unity, C#, 3D Modeling Game Development Intermediate Extrovert Game Dev",6,4
3.44,"Python, ML, Data Science, TensorFlow",AI & Data,Beginner,Introvert,20,4,4,Web Development Project 288,Creates an innovative web development application with modern technologies and best practices.,Web Development,"Python, ML, Data Science, TensorFlow AI & Data Beginner Introvert Web Development",17,4
3.88,"Java, Spring Boot, MySQL",DevOps,Intermediate,Introvert,18,3,4,Blockchain Project 289,Engineers a secure blockchain solution with focus on data privacy and integrity.,Blockchain,"Java, Spring Boot, MySQL DevOps Intermediate Introvert Blockchain",3,4
3.36,"Python, R, SQL, Statistics",AI & Data,Advanced,Neutral,15,4,3,Smart Object Detection Platform,Implements a computer vision system to solve real-world problems in academic settings.,Computer Vision,"Python, R, SQL, Statistics AI & Data Advanced Neutral Computer Vision",38,4
4.0,"Unreal Engine, C++, Game Design",Game Development,Advanced,Neutral,14,3,2,Web Design Project 291,Prototypes a cutting-edge web design application using emerging technologies.,Web Design,"Unreal Engine, C++, Game Design Game Development Advanced Neutral Web Design",12,4
3.85,"SQL, Excel, Tableau",Data Analytics,Intermediate,Introvert,8,2,2,Web Development Project 292,Constructs a robust web development framework for scalable and efficient performance.,Web Development,"SQL, Excel, Tableau Data Analytics Intermediate Introvert Web Development",31,4
2.76,"HTML, CSS, JS, PHP",Frontend Design,Intermediate,Introvert,24,2,3,Social Media Detection System,Designs and develops a web application tool to enhance learning and collaboration.,Web Application,"HTML, CSS, JS, PHP Frontend Design Intermediate Introvert Web Application",34,4
3.27,"Cryptography, Python",Cybersecurity,Beginner,Extrovert,21,4,5,Automated Container Orchestration Framework,Implements a cloud system to solve real-world problems in academic settings.,Cloud,"Cryptography, Python Cybersecurity Beginner Extrovert Cloud",60,4
3.82,"Cryptography, Python",Cybersecurity,Beginner,Neutral,24,2,5,Game Dev Project 295,Develops a game dev solution for educational purposes using Cryptography.,Game Dev,"Cryptography, Python Cybersecurity Beginner Neutral Game Dev",67,4
3.69,"Azure, Terraform, CI/CD",Cloud Computing,Intermediate,Ambivert,10,2,5,Network Monitoring Detection System,Designs and develops a cybersecurity tool to enhance learning and collaboration.,Cybersecurity,"Azure, Terraform, CI/CD Cloud Computing Intermediate Ambivert Cybersecurity",17,4
3.94,"Azure, Terraform, CI/CD",Cloud Computing,Intermediate,Neutral,23,4,2,Automated Market Analysis Framework,Builds a comprehensive data science platform with user-friendly interface and advanced features.,Data Science,"Azure, Terraform, CI/CD Cloud Computing Intermediate Neutral Data Science",16,4
3.4,"SIEM Tools, Risk Assessment",Cybersecurity,Intermediate,Introvert,19,4,3,Web Design Project 298,Engineers a secure web design solution with focus on data privacy and integrity.,Web Design,"SIEM Tools, Risk Assessment Cybersecurity Intermediate Introvert Web Design",12,4
2.92,"AWS, Docker, Kubernetes",Cloud Computing,Intermediate,Extrovert,10,3,2,Game Dev Project 299,Builds a comprehensive game dev platform with user-friendly interface and advanced features.,Game Dev,"AWS, Docker, Kubernetes Cloud Computing Intermediate Extrovert Game Dev",7,4
3.87,"Network Security, Ethical Hacking",Cybersecurity,Intermediate,Neutral,17,4,2,AI-Based Load Balancing System,Builds a comprehensive cloud platform with user-friendly interface and advanced features.,Cloud,"Network Security, Ethical Hacking Cybersecurity Intermediate Neutral Cloud",20,4
3.22,"AWS, Docker, Kubernetes",Cloud Computing,Beginner,Extrovert,21,4,3,Image Classification Chatbot Assistant,Prototypes a cutting-edge computer vision application using emerging technologies.,Computer Vision,"AWS, Docker, Kubernetes Cloud Computing Beginner Extrovert Computer Vision",8,4
3.29,"Cryptography, Python",Cybersecurity,Intermediate,Neutral,17,4,2,Intelligent Study Assistant Solution,Creates an innovative mobile development application with modern technologies and best practices.,Mobile Development,"Cryptography, Python Cybersecurity Intermediate Neutral Mobile Development",33,4
2.97,"Swift, iOS Development",Mobile Apps,Intermediate,Ambivert,21,3,4,Game Dev Project 303,Creates an innovative game dev application with modern technologies and best practices.,Game Dev,"Swift, iOS Development Mobile Apps Intermediate Ambivert Game Dev",29,4
3.91,"Python, Django, PostgreSQL",Frontend Design,Advanced,Neutral,16,4,4,AI & NLP Project 304,Implements a ai & nlp system to solve real-world problems in academic settings.,AI & NLP,"Python, Django, PostgreSQL Frontend Design Advanced Neutral AI & NLP",50,4
3.64,"HTML, CSS, JS, PHP",Natural Language Processing,Advanced,Introvert,20,2,3,AI-Based Smart Home System,Creates an innovative iot application with modern technologies and best practices.,IoT,"HTML, CSS, JS, PHP Natural Language Processing Advanced Introvert IoT",46,4
3.5,"React Native, JavaScript",Mobile Apps,Intermediate,Introvert,15,4,3,Event Management Prediction Model,Constructs a robust mobile development framework for scalable and efficient performance.,Mobile Development,"React Native, JavaScript Mobile Apps Intermediate Introvert Mobile Development",77,4
3.38,"HTML, CSS, JS, PHP",Full Stack,Intermediate,Introvert,23,2,4,Student Performance Optimization Tool,Engineers a secure data science solution with focus on data privacy and integrity.,Data Science,"HTML, CSS, JS, PHP Full Stack Intermediate Introvert Data Science",58,4
3.6,"HTML, CSS, JS, PHP",Frontend Design,Intermediate,Ambivert,12,3,2,Web Design Project 308,Implements a web design system to solve real-world problems in academic settings.,Web Design,"HTML, CSS, JS, PHP Frontend Design Intermediate Ambivert Web Design",76,4
2.61,"HTML, CSS, JS, PHP",Mobile + AI,Beginner,Extrovert,10,3,3,AI & NLP Project 309,Builds a comprehensive ai & nlp platform with user-friendly interface and advanced features.,AI & NLP,"HTML, CSS, JS, PHP Mobile + AI Beginner Extrovert AI & NLP",43,4
3.21,"HTML, CSS, JS, PHP",Web Development,Beginner,Ambivert,9,4,4,Automated Cost Management Framework,Prototypes a cutting-edge cloud application using emerging technologies.,Cloud,"HTML, CSS, JS, PHP Web Development Beginner Ambivert Cloud",79,4
3.27,"HTML, CSS, JS, PHP",Mobile + AI,Beginner,Introvert,19,3,4,AI-Based Image Classification System,Engineers a secure computer vision solution with focus on data privacy and integrity.,Computer Vision,"HTML, CSS, JS, PHP Mobile + AI Beginner Introvert Computer Vision",55,4
2.81,"JavaScript, React, Node.js, MongoDB",Mobile + AI,Intermediate,Extrovert,9,3,3,AR/VR Project 312,Constructs a robust ar/vr framework for scalable and efficient performance.,AR/VR,"JavaScript, React, Node.js, MongoDB Mobile + AI Intermediate Extrovert AR/VR",60,4
3.13,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Introvert,11,4,2,Blockchain Project 313,Designs and develops a blockchain tool to enhance learning and collaboration.,Blockchain,"HTML, CSS, JS, PHP Deep Learning Intermediate Introvert Blockchain",72,4
3.71,"Python, Django, PostgreSQL",DevOps,Beginner,Extrovert,9,4,3,AR/VR Project 314,Engineers a secure ar/vr solution with focus on data privacy and integrity.,AR/VR,"Python, Django, PostgreSQL DevOps Beginner Extrovert AR/VR",40,4
3.9,"Unity, C#, 3D Modeling",Game Development,Intermediate,Extrovert,20,3,3,AI-Based Health Tracking System,Creates an innovative mobile development application with modern technologies and best practices.,Mobile Development,"Unity, C#, 3D Modeling Game Development Intermediate Extrovert Mobile Development",63,4
3.51,"Java, Spring Boot, MySQL",Frontend Design,Advanced,Ambivert,15,4,3,AI-Based Container Orchestration System,Develops a cloud solution for educational purposes using Java.,Cloud,"Java, Spring Boot, MySQL Frontend Design Advanced Ambivert Cloud",52,4
3.65,"Java, Spring Boot, MySQL",Natural Language Processing,Intermediate,Neutral,20,3,2,Blockchain Project 317,Constructs a robust blockchain framework for scalable and efficient performance.,Blockchain,"Java, Spring Boot, MySQL Natural Language Processing Intermediate Neutral Blockchain",47,4
3.91,"Python, Data Visualization, Tableau",AI & Data,Beginner,Introvert,16,4,5,Gesture Recognition Prediction Model,Implements a computer vision system to solve real-world problems in academic settings.,Computer Vision,"Python, Data Visualization, Tableau AI & Data Beginner Introvert Computer Vision",21,4
